id,name,isAdmin,logo,banner,description,tagLine,website,domain,followerCount,industry,companySize,headquarters,type,founded,specialties,mainCompanyID,industryCode,salesNavigatorLink,employeesOnLinkedIn,totalEmployeeCount,growth6Mth,growth1Yr,growth2Yr,averageTenure,distributionOperations,distributionOperationsPercentage,distributionEngineering,distributionEngineeringPercentage,distributionMediaAndCommunication,distributionMediaAndCommunicationPercentage,distributionSupport,distributionSupportPercentage,distributionMarketing,distributionMarketingPercentage,distributionInformationTechnology,distributionInformationTechnologyPercentage,distributionHumanResources,distributionHumanResourcesPercentage,distributionSales,distributionSalesPercentage,distributionQualityAssurance,distributionQualityAssurancePercentage,distributionBusinessDevelopment,distributionBusinessDevelopmentPercentage,distributionProductManagement,distributionProductManagementPercentage,distributionResearch,distributionResearchPercentage,distributionPurchasing,distributionPurchasingPercentage,distributionProgramAndProjectManagement,distributionProgramAndProjectManagementPercentage,distributionArtsAndDesign,distributionArtsAndDesignPercentage,distributionAccounting,distributionAccountingPercentage,savedImg,companyUrl,relatedCompanies1,relatedCompanies2,relatedCompanies3,relatedCompanies4,relatedCompanies5,relatedCompanies6,relatedCompanies7,relatedCompanies8,relatedCompanies9,relatedCompanies10,query,timestamp,phone,companyAddress,distributionAdministrative,distributionAdministrativePercentage,distributionMilitaryAndProtectiveServices,distributionMilitaryAndProtectiveServicesPercentage,distributionLegal,distributionLegalPercentage,distributionFinance,distributionFinancePercentage,distributionEducation,distributionEducationPercentage,distributionEntrepreneurship,distributionEntrepreneurshipPercentage,distributionCommunityAndSocialServices,distributionCommunityAndSocialServicesPercentage,distributionConsulting,distributionConsultingPercentage,distributionHealthcareServices,distributionHealthcareServicesPercentage,distributionRealEstate,distributionRealEstatePercentage,isClaimable,relatedCompanies11,relatedCompanies12,relatedCompanies13
2,HelloFresh,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQEQjz8CEyTZCg/company-logo_400_400/0/1601987470537?e=1643241600&v=beta&t=YA-Or7K7vQOy4QETKvRIpkJckw9inUmDIxtss2HLHeQ,https://media-exp1.licdn.com/dms/image/C4D1BAQH7DxKAghSivQ/company-background_10000/0/1630783679370?e=1634965200&v=beta&t=QzPjDjYrqSa3MoOcJNg3DbrTA6eQtB90HZRvg8jlT9U,"HelloFresh is on a mission to change the way people eat, forever!\n\nFrom our 2011 founding in Europe’s vibrant tech hub Berlin, we’ve become the world's leading meal kit company, providing 601 million meals to 7.28 million households worldwide in 14 countries across 3 continents in 2020.\n \nHelloFresh supplies everything you need to prepare quality, delicious, home-cooked meals that require no planning, no shopping and no hassle. Every ingredient needed for our thousands of exclusive recipes is carefully planned, responsibly sourced and delivered to your door when it’s most convenient for you. Only HelloFresh gives you the tools to achieve something delicious every day.\n\nMaking dinner a delicious achievement - not just another meal - takes a lot of work and smart people. From Designers and Copywriters to Data Scientists and DevOps Engineers, to potato farmers, pasta makers and the people who ensure every box is perfectly packed for every customer, we’re collectively disrupting the food supply chain and the multi-trillion-dollar food tech industry.\n\nOur offices across the globe from New York to Berlin, London to Sydney are filled with more than 11,000 high-performing and ambitious talents from over 80 countries. \n\nWe’re always looking for a few missing ingredients to perfect our recipe, so join us now! https://www.hellofresh.com/careers/locations",Delicious achievement every day.,https://www.hellofresh.com/careers/,https://hellofresh.com/careers,228298,Consumer Services,"10,001+ employees","Berlin, Berlin",Public Company,2011,"Sourcing fresh and organic ingredients, Creating tasty and balanced recipes, Delivering always for free, and Valuing customers'​ feedback",2454643,91,https://www.linkedin.com/sales/company/2454643/,6267,6267,16% increase,46% increase,101% increase,1.2 years,2068,35,540,9,326,6,313,5,309,5,298,5,285,5,214,4,242,4,212,4,171,3,116,2,129,2,111,2,119,2,101,2,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/HelloFresh.jpeg,https://www.linkedin.com/company/hellofresh/,https://www.linkedin.com/company/hellofreshgo/,https://www.linkedin.com/company/gousto/,https://www.linkedin.com/company/blue-apron/,https://www.linkedin.com/company/oatly/,https://www.linkedin.com/company/daily-harvest/,https://www.linkedin.com/company/too-good-to-go/,https://www.linkedin.com/company/innocent-drinks/,https://www.linkedin.com/company/-freshly/,https://www.linkedin.com/company/amazon/,https://www.linkedin.com/company/mindful-chef/,https://www.linkedin.com/company/hellofresh/,2021-10-22T04:13:01.958Z,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HempMeds,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQFXR6aPu2x9tw/company-logo_400_400/0/1606740595742?e=1643241600&v=beta&t=Z5WwHbvkLCW2MKV1XS8XB0mgpKO8NSq5wKDMNnfGHsA,https://media-exp1.licdn.com/dms/image/C4E1BAQG2wM-ir2cpWQ/company-background_10000/0/1606740575932?e=1634965200&v=beta&t=cAwF5gQDfWfH4hxqarierpsX64STd1vGGXIg8ipBW1I,"We believe in creating change, thinking differently.\n\nMany try to swim against the sea, we prefer to float in a more fluid direction.\n\nWhen the world says there is only one way to go, we prefer the road less traveled.\n\nWhen people resist listening to new ideas, we bring science and exploration.\n\nWhen life’s daily challenges overwhelm you, we work to enlighten and navigate through the obstacles.\n\nThis is our daily agenda, this is what we do with honesty, seriousness, commitment and wisdom.\n\nOur desire is to make your personal journey become a normal adventure.",The maker and distributor of the world’s finest hemp oil,https://www.hempmedsbr.com,https://hempmedsbr.com,7538,"Health, Wellness & Fitness",11-50 employees,"São Paulo, SP",Privately Held,2014,"canabidiol, cannabis medicinal, sistema endocanabinoide, saúde, qualidade de vida, bem-estar, and CBD",35514880,124,https://www.linkedin.com/sales/company/35514880/,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/HempMeds.jpeg,https://www.linkedin.com/company/hempmeds/,https://www.linkedin.com/company/verdemed/,https://www.linkedin.com/company/greencarestore/,https://www.linkedin.com/company/medical-marijuana-inc-/,https://www.linkedin.com/company/dr-cannabis/,https://www.linkedin.com/company/the-green-hub-group/,https://www.linkedin.com/company/entouragelab/,https://www.linkedin.com/company/farmausa/,https://www.linkedin.com/company/onixcann-cantera/,https://www.linkedin.com/company/cannabis-sa%C3%BAde/,https://www.linkedin.com/company/aurora-cannabis-inc-/,https://www.linkedin.com/company/hempmeds/,2021-10-22T04:13:09.617Z,+55 (11) 4765-9607,"São Paulo, SP 04722-120, BR",,,,,,,,,,,,,,,,,,,,,,,,
4,Hennessy,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQGrz8aDjqy4ig/company-logo_400_400/0/1633335635450?e=1643241600&v=beta&t=hbuON3WFIZs_Iw-jpVKjARcje-Sj-KkodtwFoPbOgTA,https://media-exp1.licdn.com/dms/image/C4D1BAQEH-P6YkOCkYA/company-background_10000/0/1617112363937?e=1634965200&v=beta&t=yUemBZD94bop4d3SEd74jXK_U8sqy-6r_r35cV2mJks,"Leader du cognac, la Maison Hennessy rayonne à travers le monde depuis plus de 250 ans avec un savoir-faire d’exception. Née de l’esprit de conquête de son fondateur Richard Hennessy, la marque est présente dans plus de 160 pays. Ancrée au cœur de la Charente, la Maison Hennessy est également un acteur économique régional engagé, qui s’inscrit pleinement dans la valorisation de la filière Cognac.\n---\nThe leader in Cognac, the Maison Hennessy has shined around the world with its exceptional know-how for more than 250 years. Built on founder Richard Hennessy’s spirit of conquest, the brand is present in more than 160 countries. Based in the heart of the Charente region, Hennessy is also a steadfast pillar of the regional economy.",,http://hennessy.com/,hennessy.com,86353,Wine & Spirits,"501-1,000 employees","Cognac, Nouvelle-Aquitaine",Privately Held,,,29594,142,https://www.linkedin.com/sales/company/29594/,704,704,3% increase,10% increase,13% increase,4.7 years,184,28,16,2,24,4,10,2,39,6,24,4,30,5,75,11,15,2,38,6,,,10,2,11,2,43,7,14,2,28,4,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Hennessy.jpeg,https://www.linkedin.com/company/hennessy/,https://www.linkedin.com/company/moethennessy/,https://www.linkedin.com/company/lvmh/,https://www.linkedin.com/company/martell-mumm-perrier-jouet/,https://www.linkedin.com/company/moet-&-chandon/,https://www.linkedin.com/company/remycointreau/,https://www.linkedin.com/company/pernod-ricard/,https://www.linkedin.com/company/veuve-clicquot/,https://www.linkedin.com/company/bacardi/,https://www.linkedin.com/company/diageo/,https://www.linkedin.com/company/ruinart/,https://www.linkedin.com/company/hennessy/,2021-10-22T04:13:16.700Z,,"Rue de la Richonne, Cognac, Nouvelle-Aquitaine 16100, FR",35,5,11,2,10,2,14,2,,,,,,,,,,,,,,,,
5,Herboristerie de Paris,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQGanIwbBUlobQ/company-logo_400_400/0/1608148940271?e=1643241600&v=beta&t=8-w1D4jvWeV9321t9L5QQxqbj5AQtVJRnF4ZmhdZ0g4,https://media-exp1.licdn.com/dms/image/C561BAQH2Hx3OZ95YZA/company-background_10000/0/1519796758356?e=1634965200&v=beta&t=TKjynH0QB3YXmkJOq1_aMBaxV51k8Zn4M3lCO26VqDA,"L'Herboristerie de Paris, c'est deux points de vente : l'Herboristerie Pigault-Aublanc, fondée en 1920 et l'Herboristerie du Montparnasse, fondée en 1927.\n \nL’herboristerie Pigault-Aublanc et l’herboristerie du Montparnasse, toutes deux situées dans le centre de Paris, vous proposent depuis le début du XXème siècle des solutions naturelles à base de plantes pour votre santé et votre bien-être.\n \nLes deux herboristeries sélectionnent et confectionnent avec le plus grand soin deux types de préparations de plantes médicinales :\n \n- Les traditionnelles : tisanes, huiles essentielles, huiles végétales, gélules …\n- Les actuelles : Les Phytoconcentrés, forme liquide, active et pratique.\n \nOn y trouve également une sélection rigoureuse de compléments alimentaires, cosmétiques naturels, produits de la ruche, livres…",,http://www.herboristeriedeparis.com,herboristeriedeparis.com,696,Alternative Medicine,11-50 employees,,Privately Held,1920,,17943416,125,https://www.linkedin.com/sales/company/17943416/,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Herboristerie de Paris.jpeg,https://www.linkedin.com/company/herboristerie-de-paris/,https://www.linkedin.com/company/herboristerie-du-palais-royal/,https://www.linkedin.com/company/herboristerie-principale/,https://www.linkedin.com/company/ecole-lyonnaise-de-plantes-medicinales-et-des-savoirs-naturels/,https://www.linkedin.com/company/ecole-de-plantes-m%C3%A9dicinales-l-alch%C3%A9mille/,https://www.linkedin.com/company/le-chemin-de-la-nature/,https://www.linkedin.com/company/l-o-d-silets-ma-tre-herboriste-inc/,https://www.linkedin.com/company/plantespourtous/,https://www.linkedin.com/company/laboratoire-d'aromatherapie-de-phytotherapie-et-d'herboristerie-traditionnelle---phytofrance/,https://www.linkedin.com/company/herboriste-en-herbes/,https://www.linkedin.com/company/ecole-des-plantes/,https://www.linkedin.com/company/herboristerie-de-paris/,2021-10-22T04:13:22.610Z,,"30 rue Pasquier, Paris, 75008, FR",,,,,,,,,,,,,,,,,,,,,,,,
6,Herboristerie Principale ®,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQF9odRAJiL_lw/company-logo_400_400/0/1599026975892?e=1643241600&v=beta&t=sb9o8A590QQ_gQYfBYO7E5WpvcL9p_2Q3iiVZhQZu7A,https://media-exp1.licdn.com/dms/image/C4D1BAQH4kkcijT5-aQ/company-background_10000/0/1624901654592?e=1634965200&v=beta&t=TSafGFzPlmhUbXaY8e7yXoXepcXhmKAKFz3twAC1Gws,"🌺🌿 L’Herboristerie Principale ®, créée en 1996 par Nadia Aiouch, 👩‍⚕️ Docteur en Pharmacie, est aujourd’hui une référence dans le domaine des plantes médicinales au Maroc 🇲🇦 \n\nEn étant la 1ere pharmacienne à ouvrir une herboristerie au Maroc, au cœur de Casablanca, Dr. Nadia Aiouch a fait partager avec les Marocaines et Marocains, les vertus de la phytothérapie, l’art de soigner avec les plantes. Forte de sa formation universitaire, dans laquelle des cours de botanique, physiologie, et pharmacognosie ont été dispensés , Nadia Aiouch a pu offrir au public les conseils d’un professionnel de la santé. \n\nNotre équipe 👨‍⚕️👩‍⚕️ est à l’écoute des besoins spécifiques de chacun. \n\nNous avons aujourd’hui acquis une expérience de plus de 25 ans qui nous permet d’être à la hauteur de vos attentes et de vous offrir la sécurité que vous recherchez. Nous avons depuis accompagné, guidé, conseillé et préparé des remèdes naturels pour soulager les maux du quotidien. L’intérêt des plantes médicinales réside dans le fait qu’on prend soin de la personne dans sa globalité, et c’est une méthode naturelle, douce et efficace. \n\nAujourd’hui , l’Herboristerie Principale ® partage toujours son savoir-faire unique, et continue de proposer une très large gamme de produits naturels 🌱 contribuant à forger la réputation d’une enseigne chargée d’histoire.\n\nVous trouverez à l'Herboristerie Principale ®, les 🍃 plantes médicinales 🍃 agissant sur : \n\n\n👉 LA DIGESTION ET LE TRANSIT INTESTINAL\n\n👉 LA CIRCULATION SANGUINE\n\n👉 L'APPAREIL RESPIRATOIRE\n\n👉 L'APPAREIL GENITAL FEMININ\n\n👉 LE SYSTEME NERVEUX\n\n👉 L'EXCES DE POIDS\n\n👉 LES RHUMATISMES\n\n👉 LA CIRCULATION CEREBRALE\n\n👉 L'APPAREIL URINAIRE\n\n👉 LA BEAUTE DE LA PEAU ET DES CHEVEUX\n\n👉 LE TONUS ET LA VITALITE\n\n👉 LES DOULEURS ET REFROIDISSEMENTS\n\n\n✔️ Pour une approche personnalisée, soyez les bienvenus à l’Herboristerie Principale ® et vous trouverez la solution qui vous convient. 🌿\n",🌺🌿 Votre Santé au Naturel,http://www.herboristerie-principale.ma,herboristerie-principale.ma,1736,"Health, Wellness & Fitness",2-10 employees,"Casablanca, Casablanca",Sole Proprietorship,1996,"Plantes médicinales, Alimentatio bio, Cosmétique bio & naturelle, huiles essentielles, compléments alimentaires, produits naturels, produits du terroir Maroc, nutrition bio, produits de beauté naturels, Thés, tisanes & infusions, diététique bio, préparations médicinales naturelles, savons & shampoings naturels , teintures cheveux naturelles, suppléments alimentaires, huiles végétales bio, nutrition sportive, produits coopératives Maroc, super aliments, and produits sans gluten bio",68335729,124,https://www.linkedin.com/sales/company/68335729/,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Herboristerie Principale.jpeg,https://www.linkedin.com/company/herboristerie-principale/,https://www.linkedin.com/company/herboristerie-de-paris/,https://www.linkedin.com/company/herboristerie-du-palais-royal/,https://www.linkedin.com/company/herboristerie-millymenthe/,https://www.linkedin.com/company/ecole-lyonnaise-de-plantes-medicinales-et-des-savoirs-naturels/,https://www.linkedin.com/company/ubinterpharm/,https://www.linkedin.com/company/plantespourtous/,https://www.linkedin.com/company/laboratoire-d'aromatherapie-de-phytotherapie-et-d'herboristerie-traditionnelle---phytofrance/,https://www.linkedin.com/company/ecole-de-plantes-m%C3%A9dicinales-l-alch%C3%A9mille/,https://www.linkedin.com/company/le-chemin-de-la-nature/,https://www.linkedin.com/company/cailleau-herboristerie/,https://www.linkedin.com/company/herboristerie-principale/,2021-10-22T04:13:28.710Z,522985496,"10 Rue Abou Al Mahassine Rouyani, Quartier Racine, Casablanca, Casablanca 20250, MA | 10 Rue Abou Mahassine Royani, Casablanca, MA",,,,,,,,,,,,,,,,,,,,,,,,
7,Hermès,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQEEwTOnwK5sGA/company-logo_400_400/0/1551795433647?e=1643241600&v=beta&t=xjKZjnFuId95iXgfkYaWJZvZCPH5vCXG5pAsRfl2OiM,https://media-exp1.licdn.com/dms/image/C4E1BAQHMs8fIYTNxYQ/company-background_10000/0/1570812888941?e=1634965200&v=beta&t=3zoZRM1_KMb8yyGdgtObC8KuqtaCjoQBCDR6i8rBQBI,"A creator, artisan and seller of high-quality objects since 1837, Hermès is an independent, family-owned French house that employs more than 15,000 people worldwide. Driven by its permanent entrepreneurial spirit and consistently high standards, Hermès cultivates the freedom and autonomy of each individual through responsible management. The company perpetuates the transmission of exceptional know-how through strong territorial presence that respects people and nature, a source of exceptional materials. Fifteen artisanal métiers nurture the creativity of the house, whose collections are presented in over 300 stores around the world.","Everyone is an artisan, Hermès is recruiting",http://www.hermes.com/employeur,hermes.com/employeur,879908,Luxury Goods & Jewelry,"10,001+ employees",,Public Company,1837,,2999687,143,https://www.linkedin.com/sales/company/2999687/,9312,9312,6% increase,11% increase,20% increase,3.5 years,1886,22,219,3,304,4,312,4,344,4,269,3,337,4,2091,24,131,2,342,4,142,2,,,136,2,453,5,372,4,312,4,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Hermès.jpeg,https://www.linkedin.com/company/hermes-group/,https://www.linkedin.com/company/chanel/,https://www.linkedin.com/company/louis-vuitton/,https://www.linkedin.com/company/christian-dior-couture/,https://www.linkedin.com/company/gucci/,https://www.linkedin.com/company/lvmh/,https://www.linkedin.com/company/pradagroup/,https://www.linkedin.com/company/cartier/,https://www.linkedin.com/company/burberry/,https://www.linkedin.com/company/fendi/,https://www.linkedin.com/company/lor%C3%A9al/,https://www.linkedin.com/company/hermes-group/,2021-10-22T04:13:36.079Z,,,309,4,,,,,,,134,2,,,,,,,,,,,,,,
8,Heroïn Bikes,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQEOTnGwrxIDhw/company-logo_400_400/0/1519860895183?e=1643241600&v=beta&t=mUeol0asMhueya1l2PiscEG5yWCekBb6h_zkmNtoAwA,https://media-exp1.licdn.com/dms/image/C4E1BAQFgZNahS8m4xQ/company-background_10000/0/1598515700129?e=1634965200&v=beta&t=FULIJkh_BuMMoVOY_ztimkPK4PpLx2VOnNx3duWAZlY,"Née de la quête d’une perfection absolue, la marque Heroïn fabrique des vélo uniques en leur genre qui parviennent à allier ultra-performance & élégance, technicité et esthétique.",The ultimate and 100% custom bike\nDesigned in France🇫🇷\nHandmade in Italy🇮🇹,https://www.heroin-bikes.com,https://heroin-bikes.com,861,Sports,2-10 employees,"Paris, France",Privately Held,2014,Vélos de course,11456022,33,https://www.linkedin.com/sales/company/11456022/,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Heroïn Bikes.jpeg,https://www.linkedin.com/company/heroin-bikes/,https://www.linkedin.com/company/angell/,https://www.linkedin.com/company/arteis/,https://www.linkedin.com/company/debongout/,https://www.linkedin.com/company/ja-na-capital/,https://www.linkedin.com/company/weareona/,https://www.linkedin.com/company/daphni/,https://www.linkedin.com/company/fulllife/,https://www.linkedin.com/company/cowboy_bikes/,https://www.linkedin.com/company/maisonchantilly/,https://www.linkedin.com/company/cobbsaito/,https://www.linkedin.com/company/heroin-bikes/,2021-10-22T04:13:42.855Z,,"1 rue François 1er, Paris, France 75008, FR",,,,,,,,,,,,,,,,,,,,,,,,
9,Hero MotoCorp,FALSE,https://media-exp1.licdn.com/dms/image/C510BAQGxaYJA4J8nFg/company-logo_400_400/0/1519856353334?e=1643241600&v=beta&t=MLH30l_Ml2U98hjDNAVjzVUe4lcMNXSKmxzzzydH5iw,https://media-exp1.licdn.com/dms/image/C4D1BAQHRpajwEOF9Fw/company-background_10000/0/1633687955611?e=1634965200&v=beta&t=D28ipYqs-EQoah5CF4VabJAk7qxuprQCoGEZp_G93So,"Hero MotoCorp Ltd. (Formerly Hero Honda Motors Ltd.) is the world's largest manufacturer of two - wheelers, based in India. In 2001, the company achieved the coveted position of being the largest two-wheeler manufacturing company in India and also, the 'World No.1' two-wheeler company in terms of unit volume sales in a calendar year. Hero MotoCorp Ltd. continues to maintain this feat. \n\nVISION: “BE THE FUTURE OF MOBILITY”\n\nMISSION: \nCreate\n• Redefine mobility through creation of a mobility road map.\n• Set best practice and benchmark for the industry.\nCollaborate\n• Leverage partnerships and exhibit teamwork.\n• Co-create solutions that benefit the community, while caring for both internal and external environmental eco system and support sustainability.\nInspire\n• Move forward with purpose.\n• Inspire our colleagues, customers and communities.\n• Thrive on the local and global stage.\n\nVALUES: \nPassion: We have the ‘JOSH’ – We are driven to deliver our best every day; loving what we do, be bold and have fun.\nIntegrity: Our behavior is ethical and do the right thing when no one is watching.\nRespect: We show regard and appreciation for everyone, act with confidence yet humility.\nCourage: We are risk-takers, pioneers unafraid to question the status quo.\nResponsible: We are accountable for our actions and performance; delivering outcomes as a team, caring for each other and the environment.\n\nEqual Opportunity Employer Statement: Hero MotoCorp is proud to be an equal employment opportunity employer who is and will always be committed towards creating a truly inclusive workplace with a culture that values, respects and encourages diversity. Hero provides equal opportunity to all its workforce irrespective of race, color, sex, religion, sexual orientation, national origin, disability, or any other protected characteristic as outlined by federal, state, or local laws.",,http://www.heromotocorp.com,heromotocorp.com,494083,Automotive,"1,001-5,000 employees",,Public Company,1984,Largest Two wheeler manufacturer in the World,16502,53,https://www.linkedin.com/sales/company/16502/,12772,12772,11% increase,20% increase,40% increase,4.2 years,1739,19,1449,16,,,581,6,148,2,622,7,249,3,1837,20,211,2,527,6,,,,,,,,,,,308,3,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Hero MotoCorp.jpeg,https://www.linkedin.com/company/heromotocorp/,https://www.linkedin.com/company/bajaj-auto-ltd/,https://www.linkedin.com/company/tvs-motor-company/,https://www.linkedin.com/company/tata-motors/,https://www.linkedin.com/company/hyundai-motor-india-ltd/,https://www.linkedin.com/company/maruti-udyog-limited/,https://www.linkedin.com/company/mahindragroup/,https://www.linkedin.com/company/ashok-leyland/,https://www.linkedin.com/company/jcb-india-ltd./,https://www.linkedin.com/company/mgmotorindialtd/,https://www.linkedin.com/company/kiaind/,https://www.linkedin.com/company/heromotocorp/,2021-10-22T04:13:50.048Z,,"Hero MotoCorp Limited, The Grand Plaza, Plot No.2, Nelson Mandela Road, Vasant Kunj - Phase -II, New Delhi, 110070, IN",437,5,,,,,149,2,192,2,,,,,,,,,,,,,,
10,Heura Foods,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQHItb66EKBCuw/company-logo_400_400/0/1615328435661?e=1643241600&v=beta&t=2Bipe4mXKzv4wv3LklG5esuMN3fMbTaX9pwLxadcH8w,https://media-exp1.licdn.com/dms/image/C4E1BAQFJeSOH7uGEVQ/company-background_10000/0/1615400607809?e=1634965200&v=beta&t=CZKH7LTGwHH7LcZ2T_EH9LMLqWwL63WFLDITnJyTSs8,"We exist to boost nonconformism and empower people to change the food system into a sustainable one, protecting what we ❤️ the most: the animals, people’ health, our planet and our culinary heritage. \n\nHeura is a plant-based startup from Barcelona founded by Marc Coloma and Bernat Añaños in April 2017. Heura was born to bring a solution that will leave the current food system obsolete and accelerate the shift to a world where the animals are out of the meat production equation.\n\nOur Mediterranean culinary heritage is reflected on their products: short label, high nutritional facts and taste. \n\nMeat & Planet lovers. \nProudly Mediterranean 🌿🌊☀️\n","The Meat Successors: sustainable, healthy & delicious.",http://heurafoods.com,heurafoods.com,31692,Food & Beverages,51-200 employees,"Barcelona, Barcelona",Privately Held,2017,"plant-based protein, vegan food, healthy lifestyle, and foodtech",11057430,34,https://www.linkedin.com/sales/company/11057430/,98,98,72% increase,113% increase,118% increase,0.7 years,15,16,,,7,7,,,15,16,,,2,2,13,14,,,10,11,2,2,4,4,,,4,4,,,2,2,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Heura Foods.jpeg,https://www.linkedin.com/company/heura-foods/,https://www.linkedin.com/company/too-good-to-go/,https://www.linkedin.com/company/beyond-meat/,https://www.linkedin.com/company/grup-ametller-origen/,https://www.linkedin.com/company/colvin/,https://www.linkedin.com/company/oatly/,https://www.linkedin.com/company/freshlycosmetics/,https://www.linkedin.com/company/glovo-app/,https://www.linkedin.com/company/impossible-foods-inc./,https://www.linkedin.com/company/damm/,https://www.linkedin.com/company/supermercadosveritas/,https://www.linkedin.com/company/heura-foods/,2021-10-22T04:13:57.087Z,,"Passatge Gaiolà, 13, Barcelona, Barcelona 08018, ES",3,3,,,,,5,5,,,4,4,3,3,,,,,,,,,,
11,Groover,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQH5UiUIsm-EAg/company-logo_400_400/0/1549632645782?e=1643241600&v=beta&t=pXGQaV-Jd5ygDQtRRDuSJZJhsN1zEuxCZSuKFavM4Qk,https://media-exp1.licdn.com/dms/image/C4D1BAQE74WRZBBqz5A/company-background_10000/0/1634823282111?e=1634965200&v=beta&t=P6tTFrsmMTuFrJPU6dvK_DRAMx31MtN-n3bmv7Abqj8,"Groover is an innovative platform allowing musicians to send their songs directly to the best music influencers, get feedback guaranteed and coverage.\n\nAlready more than 300 media, record labels, and influencers have joined the platform, and more than 3000 artists and representatives have used Groover to reach them.\n\nWe want to make it easy for artists to promote their music, and easy for media, labels and all music influencers to discover it!\n\n➜ Part of Techstars Paris '18 Acceleration Program\n➜ Award winner: MaMA Invent 2018 ""Coup de coeur""​ prize, Innovation prize La Nouvelle Onde (under 30 changing the music business), L2L pitch competition at UC Berkeley, Astarté pitch competition at Viva Technology 2018, Incubateur Éphémère 2018","Music promotion with results 🚀 Send your music to the best media and labels, get feedback guaranteed and coverage!",https://www.groover.co,https://groover.co,2182,Music,2-10 employees,"Paris, Île-de-France",Privately Held,2018,"Musique, Media, Technologie, and MusicTech",18376318,115,https://www.linkedin.com/sales/company/18376318/,61,61,13% increase,45% increase,190% increase,1.3 years,1,2,4,7,12,20,1,2,5,8,1,2,1,2,1,2,,,6,10,,,,,,,3,5,9,15,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Groover.jpeg,https://www.linkedin.com/company/heygroover/,https://www.linkedin.com/company/murfy-repair/,https://www.linkedin.com/company/yearningmusic/,https://www.linkedin.com/company/current-prod/,https://www.linkedin.com/company/jamspaceproject/,https://www.linkedin.com/company/pennylaneaccounting/,https://www.linkedin.com/company/coletteclub/,https://www.linkedin.com/company/elinoi/,https://www.linkedin.com/company/lafourche/,https://www.linkedin.com/company/alma-alma-alma/,https://www.linkedin.com/company/grover/,https://www.linkedin.com/company/heygroover/,2021-10-22T04:14:03.892Z,,"65 rue Sainte-Anne, Paris, Île-de-France 75002, FR",,,,,,,1,2,,,9,15,5,8,1,2,,,,,,,,
